Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
1896,Aquatics,Swimming,"HAJOS, Alfred",Hungary,Men,100m freestyle,M,Gold
1896,Aquatics,Swimming,"HERSCHMANN, Otto",Austria,Men,100m freestyle,M,Silver
1896,Aquatics,Swimming,"DRIVAS, Dimitrios",Greece,Men,100m freestyle for sailors,M,Bronze
1896,Aquatics,Swimming,"MALOKINIS, Ioannis",Greece,Men,100m freestyle for sailors,M,Gold
1896,Aquatics,Swimming,"CHASAPIS, Spiridon",Greece,Men,100m freestyle for sailors,M,Silver
1896,Aquatics,Swimming,"CHOROPHAS, Efstathios",Greece,Men,1200m freestyle,M,Bronze
1896,Aquatics,Swimming,"HAJOS, Alfred",Hungary,Men,1200m freestyle,M,Gold
1896,Aquatics,Swimming,"ANDREOU, Joannis",Greece,Men,1200m freestyle,M,Silver
1896,Aquatics,Swimming,"CHOROPHAS, Efstathios",Greece,Men,400m freestyle,M,Bronze
1896,Aquatics,Swimming,"NEUMANN, Paul",Austria,Men,400m freestyle,M,Gold
1896,Aquatics,Swimming,"PEPANOS, Antonios",Greece,Men,400m freestyle,M,Silver
1896,Athletics,Athletics,"LANE, Francis",United States,Men,100m,M,Bronze
1896,Athletics,Athletics,"SZOKOLYI, Alajos",Hungary,Men,100m,M,Bronze
1896,Athletics,Athletics,"BURKE, Thomas",United States,Men,100m,M,Gold
1896,Athletics,Athletics,"HOFMANN, Fritz",Germany,Men,100m,M,Silver
1896,Athletics,Athletics,"CURTIS, Thomas",United States,Men,110m hurdles,M,Gold
1896,Athletics,Athletics,"GOULDING, Grantley",United Kingdom,Men,110m hurdles,M,Silver
1896,Athletics,Athletics,"LERMUSIAUX, Albin",France,Men,1500m,M,Bronze
1896,Athletics,Athletics,"FLACK, Edwin",Australia,Men,1500m,M,Gold
1896,Athletics,Athletics,"BLAKE, Arthur",United States,Men,1500m,M,Silver
1896,Athletics,Athletics,"GMELIN, Charles",United Kingdom,Men,400m,M,Bronze
1896,Athletics,Athletics,"BURKE, Thomas",United States,Men,400m,M,Gold
1896,Athletics,Athletics,"JAMISON, Herbert",United States,Men,400m,M,Silver
1896,Athletics,Athletics,"GOLEMIS, Dimitrios",Greece,Men,800m,M,Bronze
1896,Athletics,Athletics,"FLACK, Edwin",Australia,Men,800m,M,Gold
1896,Athletics,Athletics,"DANI, Nandor",Hungary,Men,800m,M,Silver
1896,Athletics,Athletics,"VERSIS, Sotirios",Greece,Men,discus throw,M,Bronze
1896,Athletics,Athletics,"GARRETT, Robert",United States,Men,discus throw,M,Gold
1896,Athletics,Athletics,"PARASKEVOPOULOS, Panagiotis",Greece,Men,discus throw,M,Silver
1896,Athletics,Athletics,"CLARK, Ellery",United States,Men,high jump,M,Gold
1896,Athletics,Athletics,"CONNOLLY, James",United States,Men,high jump,M,Silver
1896,Athletics,Athletics,"GARRETT, Robert",United States,Men,high jump,M,Silver
1896,Athletics,Athletics,"CONNOLLY, James",United States,Men,long jump,M,Bronze
1896,Athletics,Athletics,"CLARK, Ellery",United States,Men,long jump,M,Gold
1896,Athletics,Athletics,"GARRETT, Robert",United States,Men,long jump,M,Silver
1896,Athletics,Athletics,"KELLNER, Gyula",Hungary,Men,marathon,M,Bronze
1896,Athletics,Athletics,"LOUIS, Spyridon",Greece,Men,marathon,M,Gold
1896,Athletics,Athletics,"VASILAKOS, Kharilaos",Greece,Men,marathon,M,Silver
1896,Athletics,Athletics,"DAMASKOS, Evangelos",Greece,Men,pole vault,M,Bronze
1896,Athletics,Athletics,"THEODOROPOULOS, Ioannis",Greece,Men,pole vault,M,Bronze
1896,Athletics,Athletics,"HOYT, William Welles",United States,Men,pole vault,M,Gold
1896,Athletics,Athletics,"TYLER, Albert",United States,Men,pole vault,M,Silver
1896,Athletics,Athletics,"PAPASIDERIS, Georgios",Greece,Men,shot put,M,Bronze
1896,Athletics,Athletics,"GARRETT, Robert",United States,Men,shot put,M,Gold
1896,Athletics,Athletics,"GOUSKOS, Miltiadis",Greece,Men,shot put,M,Silver
1896,Athletics,Athletics,"PERSAKIS, Ioannis",Greece,Men,triple jump,M,Bronze
1896,Athletics,Athletics,"CONNOLLY, James",United States,Men,triple jump,M,Gold
1896,Athletics,Athletics,"TUFFERI, Alexandre",France,Men,triple jump,M,Silver
1896,Cycling,Cycling Road,"BATTEL, Edward",United Kingdom,Men,individual road race,M,Bronze
1896,Cycling,Cycling Road,"KONSTANTINIDIS, Aristidis",Greece,Men,individual road race,M,Gold
1896,Cycling,Cycling Road,"GOEDRICH, August",Germany,Men,individual road race,M,Silver
1896,Cycling,Cycling Track,"FLAMENG, L?on",France,Men,100km,M,Gold
1896,Cycling,Cycling Track,"KOLETTIS, Georgios",Greece,Men,100km,M,Silver
1896,Cycling,Cycling Track,"SCHMAL, Adolf",Austria,Men,10km,M,Bronze
1896,Cycling,Cycling Track,"MASSON, Paul",France,Men,10km,M,Gold
1896,Cycling,Cycling Track,"FLAMENG, L?on",France,Men,10km,M,Silver
1896,Cycling,Cycling Track,"SCHMAL, Adolf",Austria,Men,12-hour race,M,Gold
1896,Cycling,Cycling Track,"KEEPING, Frank",United Kingdom,Men,12-hour race,M,Silver
1896,Cycling,Cycling Track,"SCHMAL, Adolf",Austria,Men,1km time trial,M,Bronze
1896,Cycling,Cycling Track,"MASSON, Paul",France,Men,1km time trial,M,Gold
1896,Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",Greece,Men,1km time trial,M,Silver
1896,Cycling,Cycling Track,"FLAMENG, L?on",France,Men,Sprint indivual,M,Bronze
1896,Cycling,Cycling Track,"MASSON, Paul",France,Men,Sprint indivual,M,Gold
1896,Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",Greece,Men,Sprint indivual,M,Silver
1896,Fencing,Fencing,"PIERRAKOS-MAVROMICHALIS, Perikles",Greece,Men,foil individual,M,Bronze
1896,Fencing,Fencing,"GRAVELOTTE, Eug?ne-Henri",France,Men,foil individual,M,Gold
1896,Fencing,Fencing,"CALLOT, Henri",France,Men,foil individual,M,Silver
1896,Fencing,Fencing,"PYRGOS, Leonidas",Greece,Men,"foil, masters",M,Gold
1896,Fencing,Fencing,"PERRONNET, Maurice",France,Men,"foil, masters",M,Silver
1896,Fencing,Fencing,"NIELSEN, Holger",Denmark,Men,sabre individual,M,Bronze
1896,Fencing,Fencing,"GEORGIADIS, Ioannis",Greece,Men,sabre individual,M,Gold
1896,Fencing,Fencing,"KARAKALOS, Telemachos",Greece,Men,sabre individual,M,Silver
1896,Gymnastics,Artistic G.,"WEING?RTNER, Hermann",Germany,Men,horizontal bar,M,Gold
1896,Gymnastics,Artistic G.,"FLATOW, Alfred",Germany,Men,horizontal bar,M,Silver
1896,Gymnastics,Artistic G.,"FLATOW, Alfred",Germany,Men,parallel bars,M,Gold
1896,Gymnastics,Artistic G.,"ZUTTER, Louis",Switzerland,Men,parallel bars,M,Silver
1896,Gymnastics,Artistic G.,"ZUTTER, Louis",Switzerland,Men,pommel horse,M,Gold
1896,Gymnastics,Artistic G.,"WEING?RTNER, Hermann",Germany,Men,pommel horse,M,Silver
1896,Gymnastics,Artistic G.,"PERSAKIS, Petros",Greece,Men,rings,M,Bronze
1896,Gymnastics,Artistic G.,"MITROPOULOS, Ioannis",Greece,Men,rings,M,Gold
1896,Gymnastics,Artistic G.,"WEING?RTNER, Hermann",Germany,Men,rings,M,Silver
1896,Gymnastics,Artistic G.,"HOFMANN, Fritz",Germany,Men,rope climbing,M,Bronze
1896,Gymnastics,Artistic G.,"ANDRIAKOPOULOS, Nicolaos",Greece,Men,rope climbing,M,Gold
1896,Gymnastics,Artistic G.,"XENAKIS, Thomasios",Greece,Men,rope climbing,M,Silver
1896,Gymnastics,Artistic G.,"B?CKER, Konrad",Germany,Men,"team, horizontal bar",M,Gold
1896,Gymnastics,Artistic G.,"FLATOW, Alfred",Germany,Men,"team, horizontal bar",M,Gold
1896,Gymnastics,Artistic G.,"FLATOW, Gustav Felix",Germany,Men,"team, horizontal bar",M,Gold
1896,Gymnastics,Artistic G.,"HILMAR, Georg",Germany,Men,"team, horizontal bar",M,Gold
1896,Gymnastics,Artistic G.,"HOFMANN, Fritz",Germany,Men,"team, horizontal bar",M,Gold
1896,Gymnastics,Artistic G.,"MANTEUFFEL, Fritz",Germany,Men,"team, horizontal bar",M,Gold
1896,Gymnastics,Artistic G.,"NEUKIRCH, Karl",Germany,Men,"team, horizontal bar",M,Gold
1896,Gymnastics,Artistic G.,"R?STEL, Richard",Germany,Men,"team, horizontal bar",M,Gold
1896,Gymnastics,Artistic G.,"SCHUFT, Gustav",Germany,Men,"team, horizontal bar",M,Gold
1896,Gymnastics,Artistic G.,"SCHUMANN, Carl",Germany,Men,"team, horizontal bar",M,Gold
1896,Gymnastics,Artistic G.,"WEING?RTNER, Hermann",Germany,Men,"team, horizontal bar",M,Gold
1896,Gymnastics,Artistic G.,"CHRYSAPHIS, Ioannis",Greece,Men,"team, parallel bars",M,Bronze
1896,Gymnastics,Artistic G.,"KARVELAS, Phillippos",Greece,Men,"team, parallel bars",M,Bronze
1896,Gymnastics,Artistic G.,"LOUNDRAS, Dimitrios",Greece,Men,"team, parallel bars",M,Bronze
1896,Gymnastics,Artistic G.,"MITROPOULOS, Ioannis",Greece,Men,"team, parallel bars",M,Bronze
1896,Gymnastics,Artistic G.,"B?CKER, Konrad",Germany,Men,"team, parallel bars",M,Gold
1896,Gymnastics,Artistic G.,"FLATOW, Alfred",Germany,Men,"team, parallel bars",M,Gold
1896,Gymnastics,Artistic G.,"FLATOW, Gustav Felix",Germany,Men,"team, parallel bars",M,Gold
1896,Gymnastics,Artistic G.,"HILMAR, Georg",Germany,Men,"team, parallel bars",M,Gold
1896,Gymnastics,Artistic G.,"HOFMANN, Fritz",Germany,Men,"team, parallel bars",M,Gold
1896,Gymnastics,Artistic G.,"MANTEUFFEL, Fritz",Germany,Men,"team, parallel bars",M,Gold
1896,Gymnastics,Artistic G.,"NEUKIRCH, Karl",Germany,Men,"team, parallel bars",M,Gold
1896,Gymnastics,Artistic G.,"R?STEL, Richard",Germany,Men,"team, parallel bars",M,Gold
1896,Gymnastics,Artistic G.,"SCHUFT, Gustav",Germany,Men,"team, parallel bars",M,Gold
1896,Gymnastics,Artistic G.,"SCHUMANN, Carl",Germany,Men,"team, parallel bars",M,Gold
1896,Gymnastics,Artistic G.,"WEING?RTNER, Hermann",Germany,Men,"team, parallel bars",M,Gold
1896,Gymnastics,Artistic G.,"ANDRIAKOPOULOS, Nicolaos",Greece,Men,"team, parallel bars",M,Silver
1896,Gymnastics,Artistic G.,"ATHANASOPOULOS, Spyros",Greece,Men,"team, parallel bars",M,Silver
1896,Gymnastics,Artistic G.,"PERSAKIS, Petros",Greece,Men,"team, parallel bars",M,Silver
1896,Gymnastics,Artistic G.,"XENAKIS, Thomasios",Greece,Men,"team, parallel bars",M,Silver
1896,Gymnastics,Artistic G.,"WEING?RTNER, Hermann",Germany,Men,vault,M,Bronze
1896,Gymnastics,Artistic G.,"SCHUMANN, Carl",Germany,Men,vault,M,Gold
1896,Gymnastics,Artistic G.,"ZUTTER, Louis",Switzerland,Men,vault,M,Silver
1896,Shooting,Shooting,"MORAKIS, Nikolaos",Greece,Men,25m army pistol,M,Bronze
1896,Shooting,Shooting,"PAINE, John",United States,Men,25m army pistol,M,Gold
1896,Shooting,Shooting,"PAINE, Sumner",United States,Men,25m army pistol,M,Silver
1896,Shooting,Shooting,"NIELSEN, Holger",Denmark,Men,25m rapid fire pistol (60 shots),M,Bronze
1896,Shooting,Shooting,"PHRANGOUDIS, Joannis",Greece,Men,25m rapid fire pistol (60 shots),M,Gold
1896,Shooting,Shooting,"ORPHANIDIS, Georgios",Greece,Men,25m rapid fire pistol (60 shots),M,Silver
1896,Shooting,Shooting,"PHRANGOUDIS, Joannis",Greece,Men,50m pistol (60 shots),M,Bronze
1896,Shooting,Shooting,"PAINE, Sumner",United States,Men,50m pistol (60 shots),M,Gold
1896,Shooting,Shooting,"NIELSEN, Holger",Denmark,Men,50m pistol (60 shots),M,Silver
1896,Shooting,Shooting,"TRIKUPIS, Nicolaos",Greece,Men,"army rifle, 200m",M,Bronze
1896,Shooting,Shooting,"KARASEVDAS, Pantelis",Greece,Men,"army rifle, 200m",M,Gold
1896,Shooting,Shooting,"PAVLIDIS, Pavlos",Greece,Men,"army rifle, 200m",M,Silver
1896,Shooting,Shooting,"JENSEN, Viggo",Denmark,Men,"army rifle, 300m",M,Bronze
1896,Shooting,Shooting,"ORPHANIDIS, Georgios",Greece,Men,"army rifle, 300m",M,Gold
1896,Shooting,Shooting,"PHRANGOUDIS, Joannis",Greece,Men,"army rifle, 300m",M,Silver
1896,Tennis,Tennis,"PASPATIS, Konstantinos",Greece,Men,singles,M,Bronze
1896,Tennis,Tennis,"TAPAVICZA, Momcsillo",Hungary,Men,singles,M,Bronze
1896,Tennis,Tennis,"BOLAND, John",United Kingdom,Men,singles,M,Gold
1896,Tennis,Tennis,"KASDAGLIS, Dionysios",Greece,Men,singles,M,Silver
1896,Weightlifting,Weightlifting,"NIKOLOPOULOS, Alexandros",Greece,Men,heavyweight - one hand lift,M,Bronze
1896,Weightlifting,Weightlifting,"ELLIOTT, Launceston",United Kingdom,Men,heavyweight - one hand lift,M,Gold
1896,Weightlifting,Weightlifting,"JENSEN, Viggo",Denmark,Men,heavyweight - one hand lift,M,Silver
1896,Weightlifting,Weightlifting,"VERSIS, Sotirios",Greece,Men,heavyweight - two hand lift,M,Bronze
1896,Weightlifting,Weightlifting,"JENSEN, Viggo",Denmark,Men,heavyweight - two hand lift,M,Gold
1896,Weightlifting,Weightlifting,"ELLIOTT, Launceston",United Kingdom,Men,heavyweight - two hand lift,M,Silver
1896,Wrestling,Wrestling Gre-R,"CHRISTOPOULOS, Stephanos",Greece,Men,open event,M,Bronze
1896,Wrestling,Wrestling Gre-R,"SCHUMANN, Carl",Germany,Men,open event,M,Gold
1896,Wrestling,Wrestling Gre-R,"TSITAS, Georgios",Greece,Men,open event,M,Silver
1900,Aquatics,Swimming,"HALMAY, Zoltan",Hungary,Men,1500m freestyle,M,Bronze
1900,Aquatics,Swimming,"JARVIS, John Arthur",United Kingdom,Men,1500m freestyle,M,Gold
1900,Aquatics,Swimming,"WAHLE, Otto",Austria,Men,1500m freestyle,M,Silver
1900,Aquatics,Swimming,"DROST, Johannes",Netherlands,Men,200m backstroke,M,Bronze
1900,Aquatics,Swimming,"HOPPENBERG, Ernst",Germany,Men,200m backstroke,M,Gold
1900,Aquatics,Swimming,"RUBERL, Karl",Austria,Men,200m backstroke,M,Silver
1900,Aquatics,Swimming,"RUBERL, Karl",Austria,Men,200m freestyle,M,Bronze
1900,Aquatics,Swimming,"LANE, Frederick C.V.",Australia,Men,200m freestyle,M,Gold
1900,Aquatics,Swimming,"HALMAY, Zoltan",Hungary,Men,200m freestyle,M,Silver
1900,Aquatics,Swimming,"KEMP, Peter",United Kingdom,Men,200m obstacle event,M,Bronze
1900,Aquatics,Swimming,"LANE, Frederick C.V.",Australia,Men,200m obstacle event,M,Gold
1900,Aquatics,Swimming,"WAHLE, Otto",Austria,Men,200m obstacle event,M,Silver
1900,Aquatics,Swimming,HOUBEN,France,Men,200m team swimming,M,Bronze
1900,Aquatics,Swimming,"LEUILLIEUX, Jean",France,Men,200m team swimming,M,Bronze
1900,Aquatics,Swimming,"MARTIN, Louis",France,Men,200m team swimming,M,Bronze
1900,Aquatics,Swimming,"MERCHEZ, D?sir?",France,Men,200m team swimming,M,Bronze
1900,Aquatics,Swimming,TARTARA,France,Men,200m team swimming,M,Bronze
1900,Aquatics,Swimming,"FREY, Julius",Germany,Men,200m team swimming,M,Gold
1900,Aquatics,Swimming,"HAINLE, Max",Germany,Men,200m team swimming,M,Gold
1900,Aquatics,Swimming,"HOPPENBERG, Ernst",Germany,Men,200m team swimming,M,Gold
1900,Aquatics,Swimming,"SCH?NE, Max",Germany,Men,200m team swimming,M,Gold
1900,Aquatics,Swimming,"VON PETERSDORFF, Herbert",Germany,Men,200m team swimming,M,Gold
1900,Aquatics,Swimming,BERTRAND,France,Men,200m team swimming,M,Silver
1900,Aquatics,Swimming,CADET,France,Men,200m team swimming,M,Silver
1900,Aquatics,Swimming,"HOCHEPIED, Maurice",France,Men,200m team swimming,M,Silver
1900,Aquatics,Swimming,"HOCHEPIED, Victor",France,Men,200m team swimming,M,Silver
1900,Aquatics,Swimming,VERBECKE,France,Men,200m team swimming,M,Silver
1900,Aquatics,Swimming,"MARTIN, Louis",France,Men,4000m freestyle,M,Bronze
1900,Aquatics,Swimming,"JARVIS, John Arthur",United Kingdom,Men,4000m freestyle,M,Gold
1900,Aquatics,Swimming,"HALMAY, Zoltan",Hungary,Men,4000m freestyle,M,Silver
1900,Aquatics,Swimming,"LYKKEBERG, Peder",Denmark,Men,underwater swimming,M,Bronze
1900,Aquatics,Swimming,"DE VENDEVILLE, Charles",France,Men,underwater swimming,M,Gold
1900,Aquatics,Swimming,"SIX, Andr?",France,Men,underwater swimming,M,Silver
1900,Aquatics,Water polo,"BURGESS, Thomas",France,Men,water polo,M,Bronze
1900,Aquatics,Water polo,COULON,France,Men,water polo,M,Bronze
1900,Aquatics,Water polo,"DECUYPER, Alphonse",France,Men,water polo,M,Bronze
1900,Aquatics,Water polo,DEVENOT,France,Men,water polo,M,Bronze
1900,Aquatics,Water polo,FARDELLE,France,Men,water polo,M,Bronze
1900,Aquatics,Water polo,FAVIER,France,Men,water polo,M,Bronze
1900,Aquatics,Water polo,"LAUFRAY, Louis",France,Men,water polo,M,Bronze
1900,Aquatics,Water polo,LERICHE,France,Men,water polo,M,Bronze
1900,Aquatics,Water polo,"MARTIN, Louis",France,Men,water polo,M,Bronze
1900,Aquatics,Water polo,"MERCHEZ, D?sir?",France,Men,water polo,M,Bronze
1900,Aquatics,Water polo,"PESLIER, Henri",France,Men,water polo,M,Bronze
1900,Aquatics,Water polo,PESLOY,France,Men,water polo,M,Bronze
1900,Aquatics,Water polo,"TREFFEL, Charles",France,Men,water polo,M,Bronze
1900,Aquatics,Water polo,"VASSEUR, Paul",France,Men,water polo,M,Bronze
1900,Aquatics,Water polo,"COE, Thomas",United Kingdom,Men,water polo,M,Gold
1900,Aquatics,Water polo,"DERBYSHIRE, John Henry",United Kingdom,Men,water polo,M,Gold
1900,Aquatics,Water polo,"KEMP, Peter",United Kingdom,Men,water polo,M,Gold
1900,Aquatics,Water polo,"LISTER, William",United Kingdom,Men,water polo,M,Gold
1900,Aquatics,Water polo,"ROBERTSON, Arthur",United Kingdom,Men,water polo,M,Gold
1900,Aquatics,Water polo,"ROBINSON, Eric",United Kingdom,Men,water polo,M,Gold
1900,Aquatics,Water polo,"WILKINSON, George",United Kingdom,Men,water polo,M,Gold
1900,Aquatics,Water polo,"COHEN, Henri",Belgium,Men,water polo,M,Silver
1900,Aquatics,Water polo,"DE BACKER, Jean",Belgium,Men,water polo,M,Silver
1900,Aquatics,Water polo,"DE BEHR, Victor",Belgium,Men,water polo,M,Silver
1900,Aquatics,Water polo,"FEYAERTS, Fernand",Belgium,Men,water polo,M,Silver
1900,Aquatics,Water polo,"GREGOIRE, Oscar",Belgium,Men,water polo,M,Silver
1900,Aquatics,Water polo,"MICHANT, Albert",Belgium,Men,water polo,M,Silver
1900,Aquatics,Water polo,"SONNEMANS, Victor",Belgium,Men,water polo,M,Silver
1900,Archery,Archery,"PETIT, Charles Fr?d?ric",France,Men,"au chapelet, 33m",M,Bronze
1900,Archery,Archery,"VAN INNIS, Hubert",Belgium,Men,"au chapelet, 33m",M,Gold
1900,Archery,Archery,"THIBAUD, Victor",France,Men,"au chapelet, 33m",M,Silver
1900,Archery,Archery,"MERCIER, Emile",France,Men,"au chapelet, 50m",M,Bronze
1900,Archery,Archery,"MOUGIN, Eug?ne",France,Men,"au chapelet, 50m",M,Gold
1900,Archery,Archery,"HELLE, Henri",France,Men,"au chapelet, 50m",M,Silver
1900,Archery,Archery,"PETIT, Charles Fr?d?ric",France,Men,"au cordon dor?, 33m",M,Bronze
1900,Archery,Archery,"VAN INNIS, Hubert",Belgium,Men,"au cordon dor?, 33m",M,Gold
1900,Archery,Archery,"THIBAUD, Victor",France,Men,"au cordon dor?, 33m",M,Silver
1900,Archery,Archery,"FISSEUX, Emile",France,Men,"au cordon dor?, 50m",M,Bronze
1900,Archery,Archery,"HEROUIN, Henri",France,Men,"au cordon dor?, 50m",M,Gold
1900,Archery,Archery,"VAN INNIS, Hubert",Belgium,Men,"au cordon dor?, 50m",M,Silver
1900,Archery,Archery,"FOULON, Emmanuel",Belgium,Men,sur la perche ? la herse,M,Gold
1900,Archery,Archery,"DRUART, Jr.",Belgium,Men,sur la perche ? la herse,M,Silver
1900,Archery,Archery,"SERRURIER, Auguste",France,Men,sur la perche ? la herse,M,Silver
1900,Archery,Archery,"GLINEUX, Louis",Belgium,Men,sur la perche ? la pyramide,M,Bronze
1900,Archery,Archery,"GRUMIAUX, Emile",France,Men,sur la perche ? la pyramide,M,Gold
1900,Archery,Archery,"SERRURIER, Auguste",France,Men,sur la perche ? la pyramide,M,Silver
1900,Athletics,Athletics,"ROWLEY, Stanley",Australia,Men,100m,M,Bronze
1900,Athletics,Athletics,"JARVIS, Francis",United States,Men,100m,M,Gold
1900,Athletics,Athletics,"TEWKSBURY, Walter B. John",United States,Men,100m,M,Silver
1900,Athletics,Athletics,"MOLONEY, Frederick",United States,Men,110m hurdles,M,Bronze
1900,Athletics,Athletics,"KRAENZLEIN, Alvin",United States,Men,110m hurdles,M,Gold
1900,Athletics,Athletics,"MCLEAN, John",United States,Men,110m hurdles,M,Silver
1900,Athletics,Athletics,"BRAY, John",United States,Men,1500m,M,Bronze
1900,Athletics,Athletics,"BENNETT, Charles",United Kingdom,Men,1500m,M,Gold
1900,Athletics,Athletics,"DELOGE, Henri",France,Men,1500m,M,Silver
1900,Athletics,Athletics,"ROWLEY, Stanley",Australia,Men,200m,M,Bronze
1900,Athletics,Athletics,"TEWKSBURY, Walter B. John",United States,Men,200m,M,Gold
1900,Athletics,Athletics,"PRITCHARD, Norman",India,Men,200m,M,Silver
1900,Athletics,Athletics,"TEWKSBURY, Walter B. John",United States,Men,200m hurdles,M,Bronze
1900,Athletics,Athletics,"KRAENZLEIN, Alvin",United States,Men,200m hurdles,M,Gold
1900,Athletics,Athletics,"PRITCHARD, Norman",India,Men,200m hurdles,M,Silver
1900,Athletics,Athletics,"CHASTANIE, Jacques",France,Men,3000m steeplechase,M,Bronze
1900,Athletics,Athletics,"ORTON, George",Canada,Men,3000m steeplechase,M,Gold
1900,Athletics,Athletics,"ROBINSON, Sidney",United Kingdom,Men,3000m steeplechase,M,Silver
1900,Athletics,Athletics,"ROBINSON, Sidney",United Kingdom,Men,4000m steeplechase,M,Bronze
1900,Athletics,Athletics,"RIMMER, John",United Kingdom,Men,4000m steeplechase,M,Gold
1900,Athletics,Athletics,"BENNETT, Charles",United Kingdom,Men,4000m steeplechase,M,Silver
1900,Athletics,Athletics,"SCHULTZ, Ernst",Denmark,Men,400m,M,Bronze
1900,Athletics,Athletics,"LONG, Maxwell W.Maxey",United States,Men,400m,M,Gold
1900,Athletics,Athletics,"HOLLAND, William",United States,Men,400m,M,Silver
1900,Athletics,Athletics,"ORTON, George",Canada,Men,400m hurdles,M,Bronze
1900,Athletics,Athletics,"TEWKSBURY, Walter B. John",United States,Men,400m hurdles,M,Gold
1900,Athletics,Athletics,"TAUZIN, Henri",France,Men,400m hurdles,M,Silver
1900,Athletics,Athletics,"CASTANET, Andr?",France,Men,5000m team,M,Silver
1900,Athletics,Athletics,"CHAMPOUDRY, Michel",France,Men,5000m team,M,Silver
1900,Athletics,Athletics,"CHASTANIE, Jacques",France,Men,5000m team,M,Silver
1900,Athletics,Athletics,"DELOGE, Henri",France,Men,5000m team,M,Silver
1900,Athletics,Athletics,"RAGUENEAU, Gaston",France,Men,5000m team,M,Silver
1900,Athletics,Athletics,"ROWLEY, Stanley",Australia,Men,60m,M,Bronze
1900,Athletics,Athletics,"KRAENZLEIN, Alvin",United States,Men,60m,M,Gold
1900,Athletics,Athletics,"TEWKSBURY, Walter B. John",United States,Men,60m,M,Silver
1900,Athletics,Athletics,"HALL, David",United States,Men,800m,M,Bronze
1900,Athletics,Athletics,"TYSOE, Alfred",United Kingdom,Men,800m,M,Gold
1900,Athletics,Athletics,"CREGAN, John",United States,Men,800m,M,Silver
1900,Athletics,Athletics,"SHELDON, Richard",United States,Men,discus throw,M,Bronze
1900,Athletics,Athletics,"BAUER, Rudolf",Hungary,Men,discus throw,M,Gold
1900,Athletics,Athletics,"JANDA, Frantisek",Bohemia,Men,discus throw,M,Silver
1900,Athletics,Athletics,"MCCRACKEN, Josiah",United States,Men,hammer throw,M,Bronze
1900,Athletics,Athletics,"FLANAGAN, John Jesus",United States,Men,hammer throw,M,Gold
1900,Athletics,Athletics,"HARE, Thomas Truxton",United States,Men,hammer throw,M,Silver
1900,Athletics,Athletics,"G?NCZY, Lajos",Hungary,Men,high jump,M,Bronze
1900,Athletics,Athletics,"BAXTER, Irving",United States,Men,high jump,M,Gold
1900,Athletics,Athletics,"LEAHY, Patrick Joseph",United Kingdom,Men,high jump,M,Silver
1900,Athletics,Athletics,"SHELDON, Lewis Pendleton",United States,Men,"high jump, standing",M,Bronze
1900,Athletics,Athletics,"EWRY, Ray",United States,Men,"high jump, standing",M,Gold
1900,Athletics,Athletics,"BAXTER, Irving",United States,Men,"high jump, standing",M,Silver
1900,Athletics,Athletics,"LEAHY, Patrick Joseph",United Kingdom,Men,long jump,M,Bronze
1900,Athletics,Athletics,"KRAENZLEIN, Alvin",United States,Men,long jump,M,Gold
1900,Athletics,Athletics,"PRINSTEIN, Meyer",United States,Men,long jump,M,Silver
1900,Athletics,Athletics,"TORCHEBOEUF, Emile",France,Men,"long jump, standing",M,Bronze
1900,Athletics,Athletics,"EWRY, Ray",United States,Men,"long jump, standing",M,Gold
1900,Athletics,Athletics,"BAXTER, Irving",United States,Men,"long jump, standing",M,Silver
1900,Athletics,Athletics,"FAST, Ernst",Sweden,Men,marathon,M,Bronze
1900,Athletics,Athletics,"THEATO, Michel",France,Men,marathon,M,Gold
1900,Athletics,Athletics,"CHAMPION, Emile",France,Men,marathon,M,Silver
1900,Athletics,Athletics,"ANDERSEN, Carl Albert",Norway,Men,pole vault,M,Bronze
1900,Athletics,Athletics,"BAXTER, Irving",United States,Men,pole vault,M,Gold
1900,Athletics,Athletics,"COLKETT, Meredith Bright",United States,Men,pole vault,M,Silver
1900,Athletics,Athletics,"GARRETT, Robert",United States,Men,shot put,M,Bronze
1900,Athletics,Athletics,"SHELDON, Richard",United States,Men,shot put,M,Gold
1900,Athletics,Athletics,"MCCRACKEN, Josiah",United States,Men,shot put,M,Silver
1900,Athletics,Athletics,"SHELDON, Lewis Pendleton",United States,Men,triple jump,M,Bronze
1900,Athletics,Athletics,"PRINSTEIN, Meyer",United States,Men,triple jump,M,Gold
1900,Athletics,Athletics,"CONNOLLY, James",United States,Men,triple jump,M,Silver
1900,Athletics,Athletics,"GARRETT, Robert",United States,Men,"triple jump, standing",M,Bronze
1900,Athletics,Athletics,"EWRY, Ray",United States,Men,"triple jump, standing",M,Gold
1900,Athletics,Athletics,"BAXTER, Irving",United States,Men,"triple jump, standing",M,Silver
1900,Basque Pelota,Basque Pelota,"De AMEZOLA y ASPIZUA, Jos?",Spain,Men,cesta punta,M,Gold
1900,Basque Pelota,Basque Pelota,"VILLOTA BAQUIOLA, Francisco",Spain,Men,cesta punta,M,Gold
1900,Basque Pelota,Basque Pelota,"DURQUETTY, Maurice",France,Men,cesta punta,M,Silver
